SAPNo;Cena w TD;Waluta
1213364;744,31;PLN
1213996;220,90;PLN
1216340;923,88;PLN
1216659;1593,12;PLN
1220284;1365,07;PLN
1220744;2187,47;PLN
1221053;10218,79;PLN
1221214;2900,65;PLN
1221730;2301,41;PLN
1221731;6892,74;PLN
1221779;5692,81;PLN
1222460;76,05;PLN
1222526;23,16;PLN
1222615;47,17;PLN
1223665;1850,38;PLN
1224559;1385,16;PLN
1224999;11024,55;PLN
1225066;415,74;PLN
1226067;5731,66;PLN
1226121;56,62;PLN
1228688;62,37;PLN
1230048;2157,01;PLN
1230049;2428,39;PLN
1230051;3674,02;PLN
1230052;1290,08;PLN
1230053;1610,49;PLN
1230054;3549,68;PLN
1230055;3989,87;PLN
1230057;4081,05;PLN
1230058;4253,93;PLN
1230059;5261,69;PLN
1230061;5544,02;PLN
1230062;6221,62;PLN
1230063;2277,37;PLN
1230064;372,38;PLN
1230066;419,37;PLN
1230069;400,38;PLN
1230070;205,23;PLN
1230072;9232,32;PLN
1230073;9362,60;PLN
1230424;3025,52;PLN
1230875;550,69;PLN
1231398;1906,44;PLN
1234147;365,68;PLN
1235268;656,69;PLN
1235269;584,01;PLN
1235270;584,01;PLN
1235271;478,13;PLN
1235272;431,95;PLN
1235273;478,13;PLN
1235454;478,13;PLN
1235455;584,01;PLN
1235473;1129,15;PLN
1235474;1037,08;PLN
1235475;35,45;PLN
1235480;281,53;PLN
1236837;216,52;PLN
1236839;241,37;PLN
1237412;623,49;PLN
1239494;551,56;PLN
1239495;1009,45;PLN
1239496;598,14;PLN
1239686;804,63;PLN
1240996;1230,33;PLN
1241983;1112,72;PLN
1242691;288,62;PLN
1243705;402,96;PLN
1244327;327,80;PLN
1244781;1467,84;PLN
1244856;5177,46;PLN
1245928;4081,05;PLN
1245929;5544,02;PLN
1246681;419,37;PLN
1252006;323,49;PLN
1253446;437,29;PLN
1254687;330,21;PLN
1254946;610,71;PLN
1254948;1481,88;PLN
1254951;1532,77;PLN
1254953;1532,77;PLN
1255454;1532,62;PLN
1255457;1041,59;PLN
1256451;1204,43;PLN
1260260;258,08;PLN
1260261;255,04;PLN
1260262;255,04;PLN
1260263;261,21;PLN
1260469;27,54;PLN
1260471;20,36;PLN
1260472;37,78;PLN
1260494;154,92;PLN
1260496;44,33;PLN
1260505;97,09;PLN
1260506;72,46;PLN
1261113;91,93;PLN
1266467;1616,41;PLN
1266590;224,40;PLN
1266591;223,48;PLN
1268414;66,95;PLN
1268448;366,61;PLN
1270099;530,10;PLN
1270103;887,97;PLN
1270105;775,19;PLN
1270108;299,11;PLN
1270111;274,28;PLN
1270113;274,54;PLN
1270116;274,28;PLN
1270118;293,94;PLN
1270121;299,11;PLN
1270123;299,11;PLN
1270126;299,11;PLN
1270128;295,52;PLN
1270131;293,94;PLN
1270133;295,52;PLN
1270136;292,05;PLN
1270138;299,11;PLN
1270141;295,52;PLN
1270143;299,11;PLN
1270145;220,78;PLN
1270660;604,21;PLN
1270661;1436,31;PLN
1270662;994,16;PLN
1270663;1436,31;PLN
1270684;994,16;PLN
1270685;1844,88;PLN
1270686;843,48;PLN
1270687;1899,39;PLN
1270688;1844,88;PLN
1270690;1436,31;PLN
1270691;994,16;PLN
1270692;769,35;PLN
1270764;1270,81;PLN
1271118;34,38;PLN
1271119;38,06;PLN
1271120;86,46;PLN
1271121;161,71;PLN
1271122;40,12;PLN
1271123;65,61;PLN
1271124;70,83;PLN
1271125;45,16;PLN
1271126;45,16;PLN
1271127;48,25;PLN
1272938;68,60;PLN
1272939;37,78;PLN
1272940;37,56;PLN
1272941;37,78;PLN
1273226;64720,30;PLN
1274005;234,83;PLN
1274006;173,59;PLN
1274007;172,46;PLN
1274008;172,51;PLN
1274011;67,93;PLN
1275050;634,39;PLN
1277412;746,97;PLN
1277413;756,49;PLN
1278604;154,58;PLN
1279124;621,82;PLN
1279635;6575,27;PLN
1280445;756,49;PLN
1280485;756,43;PLN
1280488;1037,54;PLN
1280489;1034,20;PLN
1280490;1026,75;PLN
1281672;718,32;PLN
1281675;1073,38;PLN
1281677;1068,50;PLN
1281679;1058,03;PLN
1281680;357,35;PLN
1281682;661,35;PLN
1283346;175,36;PLN
1283348;174,08;PLN
1283349;173,52;PLN
1283350;175,36;PLN
1283351;172,84;PLN
1283352;174,08;PLN
1283353;173,47;PLN
1283355;175,36;PLN
1283356;172,27;PLN
1284168;68,27;PLN
1287551;1411,03;PLN
1287704;1937,30;PLN
1290851;187,82;PLN
1290926;1993,06;PLN
1290927;2360,70;PLN
1290928;4021,07;PLN
1293485;522,98;PLN
1294418;1533,11;PLN
1295188;430,99;PLN
1295189;429,04;PLN
1295190;429,04;PLN
1295191;845,89;PLN
1295522;563,52;PLN
1295523;515,96;PLN
1295524;429,04;PLN
1295525;845,89;PLN
1295526;845,94;PLN
1295538;852,38;PLN
1295539;784,24;PLN
1295540;163,51;PLN
1295837;66,95;PLN
1296714;440,70;PLN
1296715;589,07;PLN
1296716;593,27;PLN
1296717;593,27;PLN
1296842;362,97;PLN
1296869;147080,40;PLN
1305780;594,74;PLN
1306675;1257,39;PLN
1309449;703,65;PLN
1312882;156,38;PLN
1314112;1034,42;PLN
1315421;844,69;PLN
1316345;73,89;PLN
1316356;784,24;PLN
1317450;888,65;PLN
1319029;658,47;PLN
1319030;327,19;PLN
1319031;329,23;PLN
1321937;2566,77;PLN
1322648;1085,48;PLN
1322918;92,75;PLN
1325640;539,17;PLN
1331232;202,36;PLN
1332562;472,70;PLN
1333850;208,57;PLN
1333866;2539,43;PLN
1334898;19950,67;PLN
1335045;1304,40;PLN
1335747;183,54;PLN
1335748;304,61;PLN
1335776;1030,96;PLN
1335780;1133,03;PLN
1335781;943,92;PLN
1335790;178,29;PLN
1335791;235,41;PLN
1335792;136,73;PLN
1335980;991,10;PLN
1335991;454,91;PLN
1336109;991,10;PLN
1336112;903,13;PLN
1336113;1272,25;PLN
1336121;454,85;PLN
1336139;873,15;PLN
1336140;1272,25;PLN
1336169;454,91;PLN
1336320;1004,94;PLN
1336346;69,28;PLN
1336356;889,31;PLN
1336357;903,13;PLN
1336358;632,47;PLN
1336359;1272,25;PLN
1336360;765,19;PLN
1336361;589,90;PLN
1336376;438,32;PLN
1337409;106,20;PLN
1338397;4617,12;PLN
1339221;505,60;PLN
1341069;109,96;PLN
1342071;396,17;PLN
