ProductId	ManufPartNo	Brand	Description	Price	Stock	Category1	Category2	EAN	Status	ReleaseDate
4149551	819757	PARADOXINT	Cities Skylines Natural Disasters - Mac, Win, Linux - ESD	"42.36"	9876	Games	Gry - strategiczne / taktyczne / wojenne		Live	11/29/2016 12:00:00 AM CET
4149558	799178	PARADOXINT	Pillars of Eternity White March Expansion Pass - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"70.69"	9876	Games	Games - role playing game (RPG)		Live	8/25/2015 12:00:00 AM CET
4149559	807725	PARADOXINT	Europa Universalis IV: Mare Nostrum - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"42.36"	9876	Games	Games - strategy / tactics / wargame		Live	4/5/2016 12:00:00 AM CET
4149562	787423	PARADOXINT	Europa Universalis IV Art Of War - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"56.50"	9876	Games	Games - strategy / tactics / wargame		Live	10/30/2014 12:00:00 AM CET
4149563	799170	PARADOXINT	Pillars of Eternity The White March: Part I - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"42.36"	9876	Games	Games - role playing game (RPG)		Live	8/25/2015 12:00:00 AM CET
4165484	820804	GM 2KGAMES	WWE 2K17 - Digital Deluxe Edition - Win - ESD - angielski	"202.71"	9876	Games	Games - sports		Live	2/7/2017 12:00:00 AM CET
4173659	821460	BANDAINAMC	Impact Winter - Win - ESD - angielski	"59.75"	9876	Games	Games - adventure		Live	5/23/2017 12:00:00 AM CET
4202819	821813	BETHESDASO	The Elder Scrolls Online: Morrowind - Mac, Win - ESD - angielski	"58.72"	9876	Games	Games - massively multiplayer online games		Live	6/6/2017 12:00:00 AM CET
4206009	821691	WARNER	LEGO Worlds - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"83.54"	9876	Games	Gry - akcja		Live	3/7/2017 12:00:00 AM CET
4265229	822742	GM 2KGAMES	Sid Meiers Civilization VI Persia and Macedon Civilization & Scenario Pack - DLC - Win - ESD - mo¿esz wykorzystaæ wy³¹cznie za pomoc¹ wa¿nego konta Steam - angielski	"24.28"	9876	Games	Games - strategy / tactics / wargame		Live	3/28/2017 12:00:00 AM CET
4273898	822862	PARADOXINT	Steel Division Normandy 44 - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"112.03"	9876	Games	Gry - strategiczne / taktyczne / wojenne		Live	5/23/2017 12:00:00 AM CET
4458582	827558	PARADOXINT	Tyranny Bastards Wound - DLC - Mac, Win, Linux - ESD	"42.36"	9876	Games			Live	9/7/2017 12:00:00 AM CET
4273899	822881	PARADOXINT	Stellaris Utopia - DLC - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"37.84"	9876	Games	Games - strategy / tactics / wargame		Live	4/6/2017 12:00:00 AM CET
4283585	822980	MAGIX	VEGAS Movie Studio 14 Platinum	"224.70"	9876	Design software		2000005779060	Live	
4298203	823550	BANDAINAMC	Get Even - Win - ESD	"89.59"	9876	Games	Games - action		Live	6/21/2017 12:00:00 AM CET
4305245	823768	FERAL	Total War Warhammer - Mac - ESD - angielski	"173.56"	9876	Games	Games - strategy / tactics / wargame		Live	4/18/2017 12:00:00 AM CET
4308419	823352	DEVOLVER	Strafe - Mac, Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"46.92"	9876	Games	Games - action		Live	5/9/2017 12:00:00 AM CET
4308420	823329	THQ	De Blob - Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"57.63"	9876	Games	Games - action		Live	4/27/2017 12:00:00 AM CET
4309898	824200	FERAL	The LEGO Movie Videogame - Mac - download - ESD - angielski	"58.13"	9876	Games	Gry - akcja		Live	10/16/2014 12:00:00 AM CET
4309899	824191	FERAL	LEGO Batman 3: Beyond Gotham - Mac - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"87.19"	9876	Games	Games - action		Live	11/28/2014 12:00:00 AM CET
4315822	824375	GM 2KGAMES	Mafia III Stones Unturned - Win - ESD - angielski	"40.51"	9876	Games	Games - action		Live	5/30/2017 12:00:00 AM CET
4319606	824579	THQ	ELEX - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"142.20"	9876	Games	Games - role playing game (RPG)		Live	10/17/2017 12:00:00 AM CET
4359820	ESDBGISM13WW	BULLGUARD	BullGuard Internet Security 2017 - 1YR/3 Device MDL	"43.91"	9876	Utilities Software			Live	
4359841	ESDBGAV13WW	BULLGUARD	BullGuard Antivirus 2017 - 1Y/3 PC WIN only	"28.97"	9876	Utilities Software			Live	
