SAPNo;QBCena;QB;Waluta
1621922;237,22;2;PLN
1621923;453,69;2;PLN
1621924;453,69;2;PLN
1621975;453,69;2;PLN
1643060;54,73;5;PLN
1643060;53,88;10;PLN
1650567;1897,72;2;PLN
1661535;407,74;2;PLN
1661924;776,88;2;PLN
1662025;497,50;2;PLN
1662059;157,93;2;PLN
1662630;183,83;2;PLN
1662631;183,83;2;PLN
1662632;183,83;2;PLN
1662633;551,61;2;PLN
1662636;584,91;2;PLN
1662637;551,27;2;PLN
1662638;551,27;2;PLN
1662639;551,27;2;PLN
1662640;735,37;2;PLN
1662650;39,65;2;PLN
1662651;183,83;2;PLN
1662652;326,47;2;PLN
1662877;1012,18;2;PLN
1662878;834,73;2;PLN
1662879;800,25;2;PLN
1662880;800,25;2;PLN
1662881;800,25;2;PLN
1663646;173,86;2;PLN
1663647;229,29;2;PLN
1663648;229,29;2;PLN
1663649;229,29;2;PLN
1663650;273,24;2;PLN
1663651;326,47;2;PLN
1663652;326,47;2;PLN
1667300;1002,46;2;PLN
1672625;1039,49;2;PLN
1694632;1839,41;2;PLN
1694692;613,03;2;PLN
1694929;1720,61;2;PLN
1694934;1720,61;2;PLN
1694939;1786,62;2;PLN
1694941;1839,41;2;PLN
1694949;620,42;2;PLN
1694957;1786,62;2;PLN
1695815;1817,52;2;PLN
1695816;1659,31;2;PLN
1695817;1839,41;2;PLN
1734664;406,91;2;PLN
1734705;507,21;2;PLN
1734706;798,32;2;PLN
1734815;776,88;2;PLN
1734847;798,32;2;PLN
1735887;414,00;2;PLN
1737233;346,60;5;PLN
1737233;341,98;10;PLN
1737354;418,93;2;PLN
1742524;815,72;2;PLN
1759058;847,21;2;PLN
1759059;545,97;2;PLN
1759179;872,24;2;PLN
1759428;847,21;2;PLN
1759566;1382,63;2;PLN
1759567;733,59;2;PLN
1759568;1382,63;2;PLN
1759570;1382,63;2;PLN
1759801;357,37;2;PLN
1762584;485,45;2;PLN
1762592;36,13;2;PLN
1762679;993,50;2;PLN
1762680;1817,43;2;PLN
1762681;1691,01;2;PLN
1762755;121,40;2;PLN
1773359;280,58;2;PLN
1822627;504,27;2;PLN
1822628;795,39;2;PLN
1822629;795,39;2;PLN
1822630;795,39;2;PLN
1822631;414,69;2;PLN
1822632;623,59;2;PLN
1830046;46,14;5;PLN
1830046;45,52;10;PLN
1830697;121,41;5;PLN
1830697;119,79;10;PLN
1830735;69,84;5;PLN
1830735;68,90;10;PLN
1830736;44,24;5;PLN
1830736;43,65;10;PLN
1830737;104,30;5;PLN
1830737;102,91;10;PLN
1832359;31,85;5;PLN
1832359;31,43;10;PLN
1852995;1141,84;2;PLN
1854211;864,59;2;PLN
1854212;593,54;2;PLN
1854213;665,73;2;PLN
1854214;461,64;2;PLN
1854215;1086,84;2;PLN
1932042;255,33;2;PLN
1932152;458,56;2;PLN
2008674;71,47;1001;PLN
2021978;49,33;5;PLN
2021978;48,56;10;PLN
2031751;229,54;5;PLN
2031751;226,48;10;PLN
2053928;141,88;5;PLN
2053928;139,68;10;PLN
2055153;175,09;5;PLN
2055153;172,75;10;PLN
2055155;197,68;5;PLN
2055155;194,61;10;PLN
2055156;243,84;5;PLN
2055156;240,59;10;PLN
2055160;387,90;5;PLN
2055160;381,88;10;PLN
2055161;433,84;5;PLN
2055161;427,10;10;PLN
2055162;433,89;5;PLN
2055162;427,15;10;PLN
2059737;42,88;2;PLN
2059738;42,88;2;PLN
2059739;43,18;2;PLN
2060330;48,72;2;PLN
2060331;43,18;2;PLN
2060332;43,32;2;PLN
2062131;40,08;141;PLN
2101265;31,33;5;PLN
2101265;30,91;10;PLN
2101266;108,38;5;PLN
2101266;106,94;10;PLN
2120042;458,65;2;PLN
2120045;697,74;2;PLN
2120047;238,00;2;PLN
2126783;22,70;5;PLN
2126783;22,39;10;PLN
2141287;71,28;51;PLN
2148836;581,89;2;PLN
2148840;324,68;2;PLN
2148841;353,03;2;PLN
2148842;353,03;2;PLN
2148843;353,03;2;PLN
2148845;450,55;2;PLN
2148846;660,35;2;PLN
2148847;660,35;2;PLN
2148848;660,35;2;PLN
2149421;1020,38;2;PLN
2149422;1826,06;2;PLN
2149423;1825,95;2;PLN
2149424;1826,06;2;PLN
2149425;885,99;2;PLN
2149426;1455,29;2;PLN
2149427;1437,91;2;PLN
2149428;1455,29;2;PLN
2149429;623,07;2;PLN
2149430;945,15;2;PLN
2149431;945,15;2;PLN
2149432;945,15;2;PLN
2149433;48,42;2;PLN
2171691;199,96;2;PLN
2198072;18,17;5;PLN
2198072;17,94;10;PLN
2201293;411,08;5;PLN
2201293;405,04;20;PLN
2205753;184,80;5;PLN
2205753;181,93;10;PLN
2207076;126,03;5;PLN
2207076;124,08;10;PLN
2230591;2708,19;2;PLN
2230592;110,23;2;PLN
2230593;1771,57;2;PLN
2230594;302,97;2;PLN
2230595;1781,12;2;PLN
2230597;1781,12;2;PLN
2230635;1781,12;2;PLN
2230636;1577,89;2;PLN
2230637;1781,12;2;PLN
2230638;1781,12;2;PLN
2230640;924,85;2;PLN
2259817;48,49;43;PLN
2263396;77,42;5;PLN
2263396;76,39;10;PLN
2263502;141,88;5;PLN
2263502;139,68;10;PLN
2264442;48,53;76;PLN
2264443;48,65;41;PLN
2275337;126,26;2;PLN
2275341;48,21;2;PLN
2275347;114,51;2;PLN
2275348;85,76;2;PLN
2275356;46,88;2;PLN
2275362;91,27;2;PLN
2275363;121,19;2;PLN
2275376;126,39;2;PLN
2275378;104,57;2;PLN
2275389;81,34;2;PLN
2275390;96,65;2;PLN
2275392;98,51;2;PLN
2279019;531,13;2;PLN
2279027;90,27;2;PLN
2279028;57,83;2;PLN
2279092;1750,78;2;PLN
2279110;467,80;2;PLN
2279111;531,13;2;PLN
2279112;531,13;2;PLN
2279180;798,32;2;PLN
2279181;998,32;2;PLN
2283876;176,72;5;PLN
2283876;174,35;10;PLN
2313962;67,80;2;PLN
2314179;111,16;2;PLN
2314401;52,49;2;PLN
2314402;67,07;2;PLN
2314403;78,23;2;PLN
2314404;77,42;2;PLN
2322166;177,06;2;PLN
2322167;180,18;2;PLN
2322168;177,06;2;PLN
2322169;152,56;2;PLN
2322210;257,10;2;PLN
2328758;85,31;2;PLN
2328759;85,31;2;PLN
2328778;85,31;2;PLN
2328779;85,31;2;PLN
2329597;100,39;2;PLN
2329600;556,96;2;PLN
2329601;93,76;2;PLN
2329602;85,31;2;PLN
2329603;83,83;2;PLN
2329604;85,31;2;PLN
2329610;85,31;2;PLN
2329611;85,31;2;PLN
2329612;93,76;2;PLN
2329613;93,76;2;PLN
2337025;148,87;5;PLN
2337025;146,56;10;PLN
2346008;122,38;5;PLN
2346008;120,74;10;PLN
2355568;57,00;75;PLN
2400800;85,70;49;PLN
2457294;859,27;2;PLN
2457296;859,27;2;PLN
2457298;859,27;2;PLN
2457304;657,62;2;PLN
2457369;787,68;2;PLN
2457370;787,68;2;PLN
2457371;787,68;2;PLN
2457376;700,63;2;PLN
2457378;700,63;2;PLN
2457379;680,52;2;PLN
2457385;800,19;2;PLN
2457388;657,62;2;PLN
2457391;787,68;2;PLN
2457392;787,68;2;PLN
2457393;810,95;2;PLN
2476043;62,63;5;PLN
2476043;61,67;10;PLN
2476044;67,46;5;PLN
2476044;66,41;10;PLN
2476045;102,28;5;PLN
2476045;100,69;10;PLN
2500033;71,06;5;PLN
2500033;70,11;10;PLN
2501010;153,83;5;PLN
2501010;151,45;10;PLN
2504827;138,22;5;PLN
2504827;136,07;10;PLN
2519906;828,65;2;PLN
2521623;828,65;2;PLN
2521624;836,19;2;PLN
2521625;652,98;2;PLN
2527286;680,52;2;PLN
2527287;700,63;2;PLN
2527288;680,52;2;PLN
2527289;658,87;2;PLN
2527290;782,06;2;PLN
2527321;782,06;2;PLN
2527323;778,82;2;PLN
2534185;229,55;2;PLN
2534188;229,55;2;PLN
2574000;39,37;2;PLN
2574002;39,37;2;PLN
2574003;54,18;2;PLN
2574004;53,07;2;PLN
2574005;53,45;2;PLN
2574006;52,53;2;PLN
2574007;53,07;2;PLN
2574008;53,45;2;PLN
2574009;48,69;2;PLN
2574010;47,85;2;PLN
2574011;39,37;2;PLN
2574012;39,37;2;PLN
2574013;39,09;2;PLN
2574014;149,08;2;PLN
2574015;148,04;2;PLN
2574017;54,77;2;PLN
2574018;55,00;2;PLN
2574019;53,91;2;PLN
2574020;54,30;2;PLN
2574021;54,30;2;PLN
2574022;53,36;2;PLN
2574023;54,30;2;PLN
2574024;46,43;2;PLN
2574025;46,43;2;PLN
2574026;46,43;2;PLN
2574027;46,43;2;PLN
2574028;46,43;2;PLN
2574029;46,43;2;PLN
2574030;46,43;2;PLN
2574031;46,43;2;PLN
2574032;324,56;2;PLN
2574033;39,54;2;PLN
2574034;40,24;2;PLN
2574035;40,24;2;PLN
2574036;39,54;2;PLN
2574037;39,54;2;PLN
2574038;39,54;2;PLN
2574039;39,54;2;PLN
2574040;39,59;2;PLN
2574041;43,47;2;PLN
2574042;40,24;2;PLN
2574043;204,52;2;PLN
2574044;204,52;2;PLN
2574045;54,26;2;PLN
2576500;115,58;2;PLN
2576501;177,74;2;PLN
2580379;3252,68;11;PLN
2580379;3742,05;148;PLN
2580393;3408,60;11;PLN
2580393;3928,07;101;PLN
2596246;54,25;5;PLN
2596246;53,41;10;PLN
2597053;138,22;5;PLN
2597053;136,07;10;PLN
2597055;350,09;5;PLN
2597055;344,65;10;PLN
2597056;421,96;5;PLN
2597056;415,41;10;PLN
2597057;468,78;5;PLN
2597057;461,50;10;PLN
2602052;934,57;2;PLN
2602058;222,01;2;PLN
2602213;222,01;2;PLN
2602214;1361,84;2;PLN
2602215;905,74;2;PLN
2602221;377,55;2;PLN
2602222;1148,37;2;PLN
2602223;215,64;2;PLN
2602224;138,98;2;PLN
2602225;143,03;2;PLN
2602227;775,61;2;PLN
